t_s,R,spo2,bpm,spo2_note,bpm_note
0.5102436520000992,,,,venter på mere data,venter på flere pulsslag
0.7631758890001947,,,,venter på mere data,venter på flere pulsslag
1.0302782300000217,,,,venter på mere data,venter på flere pulsslag
1.2587251390000347,,,,venter på mere data,venter på flere pulsslag
1.5036051100000805,,,,venter på mere data,venter på flere pulsslag
1.7492993070000011,,,,venter på mere data,venter på flere pulsslag
2.012381522999931,,,,venter på mere data,venter på flere pulsslag
2.256400630999906,3.2283807884634874,58.080169790913075,,ok,venter på flere pulsslag
2.485940735999975,3.0351557363936585,62.88567683588971,,ok,venter på flere pulsslag
2.7107214470001963,3.054480067924311,62.40508071072239,,ok,venter på flere pulsslag
2.9388861060001545,3.049650994790005,62.52517975957258,,ok,venter på flere pulsslag
3.186995605999982,1.859599603543779,92.12175785986622,,ok,venter på flere pulsslag
3.443983976000254,1.9296526666355185,90.37953818077466,,ok,venter på flere pulsslag
3.696758915999908,1.8230740539170904,93.03014827908197,,ok,venter på flere pulsslag
3.9298250020001433,1.8418537767663086,92.56309657182192,,ok,venter på flere pulsslag
4.159815450000224,1.9559720003485201,89.72497635133232,,ok,venter på flere pulsslag
4.394436651999968,1.176905248956409,,,SpO2 uden for gyldigt område,venter på flere pulsslag
4.622360065000066,1.2327329128608187,,,SpO2 uden for gyldigt område,venter på flere pulsslag
4.851957379999931,1.124377969061687,,,SpO2 uden for gyldigt område,venter på flere pulsslag
5.075949132999995,1.1283702239522093,,,SpO2 uden for gyldigt område,venter på flere pulsslag
5.306883661000029,1.1598566994549533,,,SpO2 uden for gyldigt område,venter på flere pulsslag
5.532415680000213,1.1489459917170157,,,SpO2 uden for gyldigt område,venter på flere pulsslag
5.789490010000009,1.1490250605259757,,,SpO2 uden for gyldigt område,venter på flere pulsslag
6.037580830000024,1.1362618744436044,,,SpO2 uden for gyldigt område,venter på flere pulsslag
6.269610377999925,1.1224370096796823,,,SpO2 uden for gyldigt område,venter på flere pulsslag
6.519649395000215,1.1413131159082128,,,SpO2 uden for gyldigt område,venter på flere pulsslag
6.748657160000221,1.1352498011582814,,,SpO2 uden for gyldigt område,venter på flere pulsslag
6.975036079999882,1.1262119654489282,,,SpO2 uden for gyldigt område,venter på flere pulsslag
7.20889022900019,1.126672839579744,,,SpO2 uden for gyldigt område,venter på flere pulsslag
7.453856754000299,1.126165076265656,,,SpO2 uden for gyldigt område,venter på flere pulsslag
7.705048074999922,1.0345236774018352,,,SpO2 uden for gyldigt område,venter på flere pulsslag
7.933741045000261,1.1016795997812023,,,SpO2 uden for gyldigt område,venter på flere pulsslag
8.1882497280003,1.0680537050800214,,,SpO2 uden for gyldigt område,venter på flere pulsslag
8.439644772000065,1.2317676862809481,,,SpO2 uden for gyldigt område,venter på flere pulsslag
8.67357625700015,1.1977476524474913,,,SpO2 uden for gyldigt område,venter på flere pulsslag
8.922939681000116,1.1734714904641748,,,SpO2 uden for gyldigt område,venter på flere pulsslag
9.155009188999884,1.1864378093173544,,,SpO2 uden for gyldigt område,venter på flere pulsslag
9.379846867000197,1.2282109714288403,,,SpO2 uden for gyldigt område,venter på flere pulsslag
