t_s,R_raw,R,spo2,bpm,spo2_note,bpm_note
0.573690354000064,,,,,venter på mere data,venter på flere pulsslag
0.7415886409999075,,,,,venter på mere data,venter på flere pulsslag
1.0476012949993674,,,,,venter på mere data,venter på flere pulsslag
1.3097917420000158,,,,,venter på mere data,venter på flere pulsslag
1.5819061699994563,,,,,venter på mere data,venter på flere pulsslag
1.8277873199995156,,,,,venter på mere data,venter på flere pulsslag
2.0626833460000853,,,,,venter på mere data,venter på flere pulsslag
2.28869768200002,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
2.5393535539997174,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
2.7661439550001887,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.01837537099982,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.2653893400001834,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.4960893779998514,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.7233969799999613,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
3.9549424489996454,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
4.183107686999392,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
4.4376002099998,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
4.663779749999776,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
4.9195402899995315,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
5.142243499999495,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
5.372746184999414,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
5.597546341999987,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
5.8501938190001965,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
6.097416658999464,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
6.322291485999813,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
6.5473615909995715,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
6.800514947000011,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
7.045084915000189,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
7.295786724000209,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
7.543022951999774,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
7.7953082069998345,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
8.048985481999807,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
8.305844761000117,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
8.530215036999834,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
8.761084278999988,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.005201932999626,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.257890506999502,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.480847886999982,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
9.712153948999912,,,,,venter på stabilt SpO2-vindue,venter på flere pulsslag
