#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery3
#Serial Number: SN:210415BDFD41
#Date Time: 2026-05-11 15:30:46.785
#Start: 1 Hz
#Stop: 10000 Hz
#Steps: 101
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.1634 V
#Offset: -7.01237e-05 V
#Relative: no

Frequency (Hz),Channel 1 Magnitude (dB)
1,0.01469857913995406
1.096478196143185,0.01621423536487517
1.202264434617413,0.01339352792785047
1.318256738556407,0.01350841667201767
1.445439770745928,0.01293069583050074
1.584893192461114,0.01406209827915965
1.737800828749376,0.01437921222659804
1.905460717963248,0.01315278823870413
2.089296130854039,0.01327778184103055
2.290867652767772,0.01239710214423592
2.51188643150958,0.01223983049028481
2.754228703338166,0.01260246178869254
3.019951720402016,0.01231473199705331
3.311311214825911,0.01068850209349028
3.630780547701014,0.009836643884928463
3.981071705534974,0.01004458515483752
4.365158322401661,0.008478139542838809
4.786300923226386,0.006366901454228983
5.248074602497723,0.005350773578818331
5.754399373371567,0.003949472385285524
6.30957344480193,0.0008438731029309008
6.918309709189362,-0.001330069277366763
7.585775750291836,-0.004344072611262574
8.317637711026709,-0.008150221228652166
9.120108393559097,-0.01325249675076073
10,-0.01964298735478649
10.96478196143185,-0.02619831953126933
12.02264434617413,-0.03500540871965738
13.18256738556408,-0.04502436016988795
14.45439770745928,-0.05826325045949363
15.84893192461114,-0.07158287825991966
17.37800828749376,-0.0888551871535469
19.05460717963248,-0.1109733927234339
20.89296130854041,-0.1366103300514852
22.90867652767774,-0.1665804498445129
25.1188643150958,-0.2038049058512045
27.54228703338166,-0.2481235473992311
30.19951720402016,-0.3001981155241883
33.11311214825911,-0.3623237157716908
36.30780547701014,-0.4344260041868909
39.81071705534973,-0.5235846860578048
43.65158322401657,-0.6265302702307647
47.8630092322638,-0.7532739617724937
52.48074602497723,-0.8994906265696846
57.54399373371567,-1.073997803873968
63.0957344480193,-1.277706778547589
69.18309709189363,-1.516876494047334
75.85775750291836,-1.79576112088884
83.17637711026708,-2.118107868211732
91.20108393559097,-2.492848101526082
100,-2.920627779574358
109.6478196143185,-3.407714971534124
120.2264434617413,-3.958682617177798
131.8256738556408,-4.578003283711577
144.5439770745928,-5.267416785932743
158.4893192461114,-6.029789624188846
173.7800828749376,-6.866952994368103
190.5460717963246,-7.772604614220951
208.9296130854038,-8.752034382921622
229.0867652767772,-9.797741679433313
251.1886431509579,-10.91215763563469
275.4228703338166,-12.08339679514865
301.9951720402016,-13.30843070150144
331.1311214825911,-14.58781137134022
363.0780547701014,-15.90839606211728
398.1071705534973,-17.26690190505535
436.5158322401661,-18.67336670829628
478.6300923226385,-20.09243095947003
524.8074602497728,-21.55432077198578
575.4399373371566,-23.03015480739684
630.957344480193,-24.52346905252311
691.8309709189363,-26.04493154657292
758.5775750291835,-27.58766724548548
831.7637711026708,-29.14897456911483
912.0108393559096,-30.68309407696292
1000,-32.26244839006699
1096.478196143185,-33.7948846534392
1202.264434617413,-35.3508654540831
1318.256738556407,-36.97045160056003
1445.439770745928,-38.51478524307844
1584.893192461114,-40.04080604025945
1737.800828749376,-41.55179074076982
1905.460717963246,-43.10427981222648
2089.296130854038,-44.54530103704121
2290.867652767773,-45.9978233169041
2511.88643150958,-47.45023419563854
2754.228703338166,-48.66993734946617
3019.951720402016,-50.11124251663584
3311.311214825911,-51.54656975317582
3630.780547701014,-52.73924440454734
3981.071705534973,-53.91050954917353
4365.158322401661,-55.09164594388392
4786.300923226386,-56.03047217012672
5248.074602497729,-56.98056456395231
5754.399373371566,-57.72607659705639
6309.57344480193,-58.54730617789134
6918.309709189363,-59.175697404998
7585.775750291836,-59.73022796354275
8317.637711026709,-60.45402503974555
9120.108393559096,-60.83271846254024
10000,-61.49886999048904
