#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BDFD41
#Date Time: 2026-05-11 14:37:28.500.487.300
#Sample rate: 43010.8Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 114.6 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: -580 mV Sample Mode: Average

Time (s),Channel 1 (V)
-0.7529065090349505,-0.07561320034391016
-0.7528832590349506,-0.0752980516939349
-0.7528600090349505,-0.07466775439398154
-0.7528367590349505,-0.07411624425652286
-0.7528135090349506,-0.07317079830659712
-0.7527902590349504,-0.07238292668165057
-0.7527670090349505,-0.07183141654419389
-0.7527437590349505,-0.07143748073172254
-0.7527205090349505,-0.07096475775675809
-0.7526972590349505,-0.07057082194428904
-0.7526740090349505,-0.07025567329431193
-0.7526507590349505,-0.06994052464433553
-0.7526275090349506,-0.06994052464433553
-0.7526042590349505,-0.07049203478179422
-0.7525810090349505,-0.07096475775675881
-0.7525577590349506,-0.07159505505670931
-0.7525345090349504,-0.07222535235666783
-0.7525112590349505,-0.07317079830659368
-0.7524880090349505,-0.07403745709403034
-0.7524647590349505,-0.07490411588146628
-0.7524415090349506,-0.07624349764386107
-0.7524182590349505,-0.07711015643129859
-0.7523950090349505,-0.07813438954372313
-0.7523717590349506,-0.07876468684367362
-0.7523485090349505,-0.07900104833115706
-0.7523252590349505,-0.07971013279360395
-0.7523020090349506,-0.07978891995609776
-0.7522787590349505,-0.07971013279360366
-0.7522555090349505,-0.07963134563110985
-0.7522322590349505,-0.07939498414362756
-0.7522090090349505,-0.0790010483311565
-0.7521857590349506,-0.07868589968118124
-0.7521625090349505,-0.07844953819369838
-0.7521392590349505,-0.07805560238122702
-0.7521160090349506,-0.07758287940626404
-0.7520927590349505,-0.07718894359379269
-0.7520695090349505,-0.0767162206188281
-0.7520462590349506,-0.07663743345633429
-0.7520230090349505,-0.07663743345633371
-0.7519997590349505,-0.0765586462938399
-0.7519765090349505,-0.0765586462938399
-0.7519532590349505,-0.07640107196885214
-0.7519300090349506,-0.07663743345633357
-0.7519067590349505,-0.0767162206188281
-0.7518835090349505,-0.07640107196885157
-0.7518602590349506,-0.07632228480635775
-0.7518370090349505,-0.07608592331887575
-0.7518137590349505,-0.07521926453144023
-0.7517905090349506,-0.07387988276904543
-0.7517672590349505,-0.0729344368191068
-0.7517440090349505,-0.0716738422192057
-0.7517207590349505,-0.07049203478179422
-0.7516975090349505,-0.06946780166936922
-0.7516742590349506,-0.06852235571944348
-0.7516510090349505,-0.06734054828203018
-0.7516277590349505,-0.06678903814456991
-0.7516045090349506,-0.06592237935713799
-0.7515812590349505,-0.06615874084461827
-0.7515580090349505,-0.06600116651963051
-0.7515347590349506,-0.06615874084461813
-0.7515115090349505,-0.06552844354466505
-0.7514882590349505,-0.06529208205718362
-0.7514650090349505,-0.06513450773219542
-0.7514417590349505,-0.06529208205718247
-0.7514185090349506,-0.06466178475723199
-0.7513952590349505,-0.06450421043224264
-0.7513720090349505,-0.06403148745727719
-0.7513487590349506,-0.06355876448231432
-0.7513255090349505,-0.06300725434485566
-0.7513022590349505,-0.06245574420739597
-0.7512790090349506,-0.06190423406993929
-0.7512557590349505,-0.06151029825746507
-0.7512325090349505,-0.0610375752825022
-0.7512092590349505,-0.06064363947003171
-0.7511860090349505,-0.05961940635760742
-0.7511627590349506,-0.05906789622015075
-0.7511395090349505,-0.05780730162024406
-0.7511162590349505,-0.05717700432029055
-0.7510930090349506,-0.05678306850782149
-0.7510697590349505,-0.05631034553285705
-0.7510465090349505,-0.05607398404537389
-0.7510232590349506,-0.05607398404537389
-0.7510000090349505,-0.05568004823290168
-0.7509767590349505,-0.05520732525793881
-0.7509535090349505,-0.05457702795798602
-0.7509302590349505,-0.05402551782052662
-0.7509070090349506,-0.05363158200805756
-0.7508837590349505,-0.05331643335808045
-0.7508605090349505,-0.05244977457064411
-0.7508372590349506,-0.05181947727069362
-0.7508140090349505,-0.05055888267078919
-0.7507907590349505,-0.04937707523337542
-0.7507675090349506,-0.04827405495846195
-0.7507442590349505,-0.04701346035854835
-0.7507210090349505,-0.04591044008363498
-0.7506977590349505,-0.04472863264622351
-0.7506745090349505,-0.04354682520880988
-0.7506512590349506,-0.0423650177714026
-0.7506280090349505,-0.04157714614645946
-0.7506047590349505,-0.04086806168401143
-0.7505815090349506,-0.04023776438406094
-0.7505582590349505,-0.03992261573408398
-0.7505350090349505,-0.03937110559662471
-0.7505117590349506,-0.03842565964669886
-0.7504885090349505,-0.03748021369676251
-0.7504652590349505,-0.03645598058434296
-0.7504420090349505,-0.03590447044688427
-0.7504187590349505,-0.03527417314693005
-0.7503955090349506,-0.03448630152199194
-0.7503722590349505,-0.03409236570952001
-0.7503490090349505,-0.0333044940845772
-0.7503257590349506,-0.03235904813465146
-0.7503025090349505,-0.03149238934721623
-0.7502792590349505,-0.03046815623479138
-0.7502560090349506,-0.02944392312237182
-0.7502327590349505,-0.02865605149742368
-0.7502095090349505,-0.02771060554749782
-0.7501862590349505,-0.02684394676006274
-0.7501630090349505,-0.02629243662260319
-0.7501397590349506,-0.02581971364764032
-0.7501165090349505,-0.02479548053521619
-0.7500932590349505,-0.02416518323526211
-0.7500700090349506,-0.02345609877281769
-0.7500467590349504,-0.02314095012283886
-0.7500235090349505,-0.02282580147286362
-0.7500002590349506,-0.02274701431036981
-0.7499770090349505,-0.02188035552293429
-0.7499537590349505,-0.02180156836044034
-0.7499305090349505,-0.02156520687295804
-0.7499072590349505,-0.02125005822298122
-0.7498840090349506,-0.02101369673549978
-0.7498607590349505,-0.02046218659804067
-0.7498375090349505,-0.02038339943554556
-0.7498142590349506,-0.01983188929808888
-0.7497910090349504,-0.01975310213559005
-0.7497677590349505,-0.0187288690231705
-0.7497445090349506,-0.01896523051065194
-0.7497212590349505,-0.01833493321069933
-0.7496980090349505,-0.01801978456072351
-0.7496747590349505,-0.01738948726077072
-0.7496515090349505,-0.01723191293578209
-0.7496282590349506,-0.01699555144830066
-0.7496050090349505,-0.01605010549837105
-0.7495817590349505,-0.01597131833587695
-0.7495585090349506,-0.01549859536091322
-0.7495352590349504,-0.01573495684839122
-0.7495120090349505,-0.01478951089846547
-0.7494887590349506,-0.01478951089846547
-0.7494655090349505,-0.01384406494853601
-0.7494422590349505,-0.01368649062354799
-0.7494190090349505,-0.0129774061611011
-0.7493957590349505,-0.01305619332359377
-0.7493725090349506,-0.01226832169865565
-0.7493492590349505,-0.01226832169865422
-0.7493260090349505,-0.01155923723620733
-0.7493027590349506,-0.01124408858623151
-0.7492795090349504,-0.01085015277375901
-0.7492562590349505,-0.01045621696128995
-0.7492330090349506,-0.01029864263630233
-0.7492097590349505,-0.009904706823830836
-0.7491865090349505,-0.009668345336349402
-0.7491632590349505,-0.009195622361384381
-0.7491400090349505,-0.008959260873900223
-0.7491167590349506,-0.00793502776148056
-0.7490935090349505,-0.007619879111502303
-0.7490702590349505,-0.007068368974043615
-0.7490470090349506,-0.006595645999079885
-0.7490237590349504,-0.005256264236677633
-0.7490005090349505,-0.004783541261714763
-0.7489772590349506,-0.004074456799270458
-0.7489540090349505,-0.003207798011831109
-0.7489307590349505,-0.00234113922439918
-0.7489075090349505,-0.001632054761950719
-0.7488842590349505,-0.0001350986745608438
-0.7488610090349506,0.0009679216003525201
-0.7488377590349505,0.002386090525248408
-0.7488145090349505,0.003725472287648079
-0.7487912590349506,0.004749705400069495
-0.7487680090349504,0.006089087162474007
-0.7487447590349505,0.006876958787412124
-0.7487215090349505,0.0081375533873187
-0.7486982590349505,0.008689063524777102
-0.7486750090349505,0.009082999337246161
-0.7486517590349505,0.009555722312211468
-0.7486285090349505,0.009555722312211181
-0.7486052590349506,0.009398147987223557
-0.7485820090349505,0.009319360824729173
-0.7485587590349505,0.009713296637199664
-0.7485355090349506,0.009634509474705852
-0.7485122590349504,0.009792083799695196
-0.7484890090349505,0.01018601961216425
-0.7484657590349505,0.01073752974962452
-0.7484425090349505,0.01160418853706028
-0.7484192590349505,0.01278599597446746
-0.7483960090349505,0.01499203652430436
-0.7483727590349505,0.01633141828670759
-0.7483495090349506,0.01822231018655907
-0.7483262590349505,0.01956169194896218
-0.7483030090349505,0.02121622236133835
-0.7482797590349506,0.02200409398627647
-0.7482565090349504,0.02310711426119815
-0.7482332590349505,0.02350105007366721
-0.7482100090349505,0.02405256021112661
-0.7481867590349505,0.02444649602359725
-0.7481635090349505,0.02491921899856012
-0.7481402590349505,0.02539194197352557
-0.7481170090349505,0.0258646649484917
-0.7480937590349506,0.02665253657342982
-0.7480705090349505,0.02720404671088994
-0.7480472590349505,0.02822827982331322
-0.7480240090349506,0.02909493861074515
-0.7480007590349504,0.03043432037315256
-0.7479775090349505,0.03169491497305366
-0.7479542590349505,0.03256157376049031
-0.7479310090349505,0.03342823254792611
-0.7479077590349505,0.0346888271478271
-0.7478845090349505,0.03539791161027628
-0.7478612590349505,0.0365009318851962
-0.7478380090349506,0.037840313647591
-0.7478147590349505,0.03933726973498131
-0.7477915090349505,0.04004635419742819
-0.7477682590349506,0.04146452312231691
-0.7477450090349504,0.04240996907225555
-0.7477217590349505,0.04359177650966273
-0.7476985090349505,0.04406449948462875
-0.7476752590349505,0.04485237110956916
-0.7476520090349505,0.04532509408453203
-0.7476287590349505,0.04579781705949759
-0.7476055090349505,0.0461917528719688
-0.7475822590349506,0.04658568868443786
-0.7475590090349505,0.04697962449690907
-0.7475357590349505,0.04713719882189726
-0.7475125090349506,0.048082644771823
-0.7474892590349504,0.04855536774679504
-0.7474660090349505,0.04965838802170841
-0.7474427590349505,0.04997353667168652
-0.7474195090349505,0.05091898262161481
-0.7473962590349505,0.05131291843408387
