#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BDFD41
#Date Time: 2026-05-11 14:32:45.391.011.610
#Sample rate: 63979.5Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 114.6 mV Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 200 mV/div Offset: -520 mV Sample Mode: Average

Time (s),Channel 1 (V)
-0.2440799053787642,-0.02862243628318617
-0.2440642753787642,-0.02893758493316299
-0.2440486453787642,-0.02917394642064497
-0.2440330153787642,-0.02956788223311546
-0.2440173853787642,-0.02988303088309128
-0.2440017553787642,-0.02996181804558581
-0.2439861253787642,-0.03043454102055112
-0.2439704953787642,-0.03074968967052694
-0.2439548653787642,-0.03106483832050333
-0.2439392353787642,-0.03137998697047915
-0.2439236053787642,-0.03145877413297483
-0.2439079753787642,-0.03201028427043294
-0.2438923453787642,-0.0322466457579148
-0.2438767153787642,-0.032404220082903
-0.2438610853787642,-0.03264058157038487
-0.2438454553787642,-0.03295573022036212
-0.2438298253787642,-0.03319209170784427
-0.2438141953787642,-0.03334966603283218
-0.2437985653787642,-0.03366481468280857
-0.2437829353787642,-0.03397996333278439
-0.2437673053787642,-0.03390117617029173
-0.2437516753787642,-0.03437389914525586
-0.2437360453787642,-0.03453147347024377
-0.2437204153787642,-0.03500419644520836
-0.2437047853787642,-0.03531934509518418
-0.2436891553787642,-0.03555570658266748
-0.2436735253787642,-0.03579206807014934
-0.2436578953787642,-0.03626479104511393
-0.2436422653787642,-0.03650115253259623
-0.2436266353787642,-0.03673751402007809
-0.2436110053787642,-0.0369738755075611
-0.2435953753787642,-0.03713144983254901
-0.2435797453787642,-0.03744659848252541
-0.2435641153787642,-0.0376829599700077
-0.2435484853787642,-0.03791932145748957
-0.2435328553787642,-0.03815568294497287
-0.2435172253787642,-0.03847083159494868
-0.2435015953787642,-0.03886476740741918
-0.2434859653787642,-0.03917991605739568
-0.2434703353787642,-0.03925870321988963
-0.2434547053787642,-0.0396526390323607
-0.2434390753787642,-0.03988900051984257
-0.2434234453787642,-0.04012536200732486
-0.2434078153787642,-0.04044051065730125
-0.2433921853787642,-0.04051929781979521
-0.2433765553787642,-0.04083444646977232
-0.2433609253787642,-0.04114959511974814
-0.2433452953787642,-0.04122838228224224
-0.2433296653787642,-0.04146474376972453
-0.2433140353787642,-0.04193746674468826
-0.2432984053787642,-0.04193746674468955
-0.2432827753787642,-0.04217382823217142
-0.2432671453787642,-0.04256776404464191
-0.2432515153787642,-0.04272533836963011
-0.2432358853787642,-0.04288291269461802
-0.2432202553787642,-0.04327684850708937
-0.2432046253787642,-0.04359199715706519
-0.2431889953787642,-0.04390714580704169
-0.2431733653787642,-0.04398593296953564
-0.2431577353787642,-0.04406472013202974
-0.2431421053787642,-0.04437986878200657
-0.2431264753787642,-0.04453744310699448
-0.2431108453787642,-0.04485259175697087
-0.2430952153787642,-0.04516774040694669
-0.2430795853787642,-0.04540410189442913
-0.2430639553787642,-0.04556167621941847
-0.2430483253787642,-0.04595561203188825
-0.2430326953787642,-0.04611318635687645
-0.2430170653787642,-0.04634954784435831
-0.2430014353787642,-0.04666469649433542
-0.2429858053787642,-0.04682227081932362
-0.2429701753787642,-0.04697984514431153
-0.2429545453787642,-0.04690105798181743
-0.2429389153787642,-0.04721620663179325
-0.2429232853787642,-0.0473737809567823
-0.2429076553787642,-0.0475313552817705
-0.2428920253787642,-0.04768892960675841
-0.2428763953787642,-0.04784650393174661
-0.2428607653787642,-0.04816165258172243
-0.2428451353787642,-0.04816165258172329
-0.2428295053787642,-0.0483192269067112
-0.2428138753787642,-0.0483192269067112
-0.2427982453787642,-0.0483980140692053
-0.2427826153787642,-0.04847680123169925
-0.2427669853787642,-0.04855558839419407
-0.2427513553787642,-0.04887073704417
-0.2427357253787642,-0.0487919498816759
-0.2427200953787642,-0.04910709853165229
-0.2427044653787642,-0.04918588569414625
-0.2426888353787642,-0.04926467285664034
-0.2426732053787642,-0.04918588569414639
-0.2426575753787642,-0.04942224718162869
-0.2426419453787642,-0.04942224718162869
-0.2426263153787642,-0.04989497015659242
-0.2426106853787642,-0.04989497015659356
-0.2425950553787642,-0.05005254448158147
-0.2425794253787642,-0.05005254448158147
-0.2425637953787642,-0.05005254448158147
-0.2425481653787642,-0.05013133164407543
-0.2425325353787642,-0.05021011880656982
-0.2425169053787642,-0.05028890596906377
-0.2425012753787642,-0.05028890596906377
-0.2424856453787642,-0.05044648029405197
-0.2424700153787642,-0.05028890596906405
-0.2424543853787642,-0.0504464802940524
-0.2424387553787642,-0.05068284178153426
-0.2424231253787642,-0.05052526745654606
-0.2424074953787642,-0.05068284178153426
